user_id,time
laura,1512938069000
laura,1512937773000
laura,1512937171000
hernanaracena,1512936238000
hernanaracena,1512936237000
hernanaracena,1512936145000
laura,1512935900000
laura,1512935899000
hernanaracena,1512935839000
hernanaracena,1512935752000
hernanaracena,1512935752000
hernanaracena,1512935751000
hernanaracena,1512935750000
hernanaracena,1512935748000
hernanaracena,1512935747000
hernanaracena,1512935746000
hernanaracena,1512935745000
hernanaracena,1512935684000
hernanaracena,1512935618000
hernanaracena,1512935616000
hernanaracena,1512935615000
hernanaracena,1512935574000
hernanaracena,1512935572000
hernanaracena,1512935571000
hernanaracena,1512935545000
hernanaracena,1512935498000
laura,1512935298000
laura,1512934997000
laura,1512934986000
laura,1512934690000
laura,1512934690000
laura,1512934689000
laura,1512934688000
hernanaracena,1512915916000
hernanaracena,1512915915000
hernanaracena,1512913948000
jpulgarin,1512912312000
jpulgarin,1512912311000
jpulgarin,1512912311000
jpulgarin,1512912311000
jpulgarin,1512912310000
jpulgarin,1512911974000
jpulgarin,1512911883000
jpulgarin,1512911768000
jpulgarin,1512911362000
jpulgarin,1512911227000
jpulgarin,1512911046000
jpulgarin,1512911046000
jpulgarin,1512911046000
jpulgarin,1512911045000
jpulgarin,1512911045000
jpulgarin,1512911045000
jpulgarin,1512910854000
jpulgarin,1512910574000
jpulgarin,1512910258000
jpulgarin,1512909968000
jpulgarin,1512909387000
sergioruizdavila,1512904741000
sergioruizdavila,1512904641000
sergioruizdavila,1512904635000
sergioruizdavila,1512904260000
sergioruizdavila,1512904198000
hernanaracena,1512902153000
hernanaracena,1512902041000
hernanaracena,1512901719000
hernanaracena,1512901228000
hernanaracena,1512900628000
hernanaracena,1512900517000
hernanaracena,1512900516000
hernanaracena,1512900028000
hernanaracena,1512899430000
hernanaracena,1512899370000
hernanaracena,1512899269000
hernanaracena,1512898773000
hernanaracena,1512898513000
hernanaracena,1512898512000
hernanaracena,1512898467000
hernanaracena,1512898131000
hernanaracena,1512897880000
hernanaracena,1512897854000
hernanaracena,1512897556000
hernanaracena,1512897553000
hernanaracena,1512897528000
hernanaracena,1512896927000
hernanaracena,1512896626000
hernanaracena,1512896621000
hernanaracena,1512896328000
Julian,1512896191000
elisebaros,1512895769000
hernanaracena,1512895762000
hernanaracena,1512895762000
elisebaros,1512895719000
elisebaros,1512895713000
elisebaros,1512895708000
elisebaros,1512895703000
elisebaros,1512895152000
elisebaros,1512894557000
sergioruizdavila,1512892694000
sergioruizdavila,1512892693000
elisebaros,1512892198000
hernanaracena,1512891804000
elisebaros,1512891597000
elisebaros,1512890997000
sergioruizdavila,1512886977000
sergioruizdavila,1512886976000
sergioruizdavila,1512886381000
sergioruizdavila,1512885780000
sergioruizdavila,1512885183000
sergioruizdavila,1512885172000
sergioruizdavila,1512885172000
sergioruizdavila,1512884571000
sergioruizdavila,1512883971000
sergioruizdavila,1512883370000
sergioruizdavila,1512882894000
sergioruizdavila,1512882894000
sergioruizdavila,1512882293000
sergioruizdavila,1512882293000
sergioruizdavila,1512882293000
sergioruizdavila,1512882292000
sergioruizdavila,1512882292000
hernanaracena,1512856438000
hernanaracena,1512856432000
hernanaracena,1512855835000
hernanaracena,1512855234000
hernanaracena,1512854633000
hernanaracena,1512854036000
hernanaracena,1512853435000
hernanaracena,1512852839000
hernanaracena,1512852833000
hernanaracena,1512852232000
hernanaracena,1512851635000
hernanaracena,1512840763000
hernanaracena,1512840162000
hernanaracena,1512839816000
hernanaracena,1512839560000
hernanaracena,1512838808000
hernanaracena,1512838511000
hernanaracena,1512838510000
hernanaracena,1512834419000
hernanaracena,1512833824000
hernanaracena,1512833748000
hernanaracena,1512833528000
hernanaracena,1512833527000
hernanaracena,1512833222000
hernanaracena,1512833166000
hernanaracena,1512833166000
hernanaracena,1512832620000
hernanaracena,1512832375000
hernanaracena,1512832019000
hernanaracena,1512831293000
hernanaracena,1512831292000
hernanaracena,1512831291000
hernanaracena,1512831290000
hernanaracena,1512831288000
hernanaracena,1512831287000
hernanaracena,1512831284000
hernanaracena,1512831282000
hernanaracena,1512831280000
hernanaracena,1512831278000
hernanaracena,1512831277000
hernanaracena,1512831276000
hernanaracena,1512831275000
hernanaracena,1512831272000
hernanaracena,1512831271000
hernanaracena,1512831270000
hernanaracena,1512831244000
hernanaracena,1512830644000
hernanaracena,1512830178000
hernanaracena,1512830047000
hernanaracena,1512829927000
hernanaracena,1512820812000
hernanaracena,1512820330000
hernanaracena,1512819729000
hernanaracena,1512819613000
hernanaracena,1512819127000
hernanaracena,1512818531000
hernanaracena,1512818430000
Julian,1512813169000
Julian,1512813168000
Julian,1512813163000
Julian,1512812727000
Julian,1512812581000
Julian,1512812095000
andreacordoba,1512810900000
hernanaracena,1512810103000
Julian,1512808251000
Julian,1512808136000
Julian,1512807980000
Julian,1512807330000
sergioruizdavila,1512797651000
sergioruizdavila,1512797110000
sergioruizdavila,1512796510000
andreacordoba,1512795996000
sergioruizdavila,1512795909000
andreacordoba,1512795521000
andreacordoba,1512795400000
sergioruizdavila,1512795308000
sergioruizdavila,1512794712000
sergioruizdavila,1512794111000
sergioruizdavila,1512794059000
sergioruizdavila,1512794005000
hernanaracena,1512771883000
hernanaracena,1512771287000
hernanaracena,1512770686000
hernanaracena,1512770085000
hernanaracena,1512769484000
hernanaracena,1512769218000
hernanaracena,1512768597000
hernanaracena,1512768261000
hernanaracena,1512761051000
hernanaracena,1512760454000
hernanaracena,1512759852000
hernanaracena,1512759251000
hernanaracena,1512758654000
hernanaracena,1512758053000
hernanaracena,1512757451000
hernanaracena,1512756855000
hernanaracena,1512756589000
hernanaracena,1512756563000
hernanaracena,1512756225000
hernanaracena,1512755628000
hernanaracena,1512755362000
hernanaracena,1512755301000
hernanaracena,1512755300000
hernanaracena,1512755299000
hernanaracena,1512755299000
hernanaracena,1512755298000
hernanaracena,1512755297000
hernanaracena,1512755296000
hernanaracena,1512755295000
hernanaracena,1512755294000
hernanaracena,1512754782000
hernanaracena,1512754516000
hernanaracena,1512754195000
hernanaracena,1512754194000
hernanaracena,1512754193000
hernanaracena,1512754192000
hernanaracena,1512754191000
hernanaracena,1512754189000
hernanaracena,1512754187000
hernanaracena,1512754186000
hernanaracena,1512754185000
hernanaracena,1512753914000
hernanaracena,1512753758000
hernanaracena,1512753757000
hernanaracena,1512753756000
hernanaracena,1512753752000
hernanaracena,1512753751000
hernanaracena,1512753750000
hernanaracena,1512753748000
hernanaracena,1512753745000
hernanaracena,1512753314000
hernanaracena,1512752713000
hernanaracena,1512752561000
hernanaracena,1512750382000
hernanaracena,1512749934000
hernanaracena,1512749783000
hernanaracena,1512749752000
hernanaracena,1512749306000
hernanaracena,1512748869000
hernanaracena,1512748868000
hernanaracena,1512748867000
hernanaracena,1512748866000
hernanaracena,1512748865000
hernanaracena,1512748864000
hernanaracena,1512748863000
hernanaracena,1512748862000
hernanaracena,1512748861000
hernanaracena,1512748860000
hernanaracena,1512748859000
hernanaracena,1512748858000
hernanaracena,1512748857000
hernanaracena,1512748856000
hernanaracena,1512748714000
hernanaracena,1512748710000
hernanaracena,1512748709000
hernanaracena,1512748707000
hernanaracena,1512748570000
hernanaracena,1512748569000
hernanaracena,1512748383000
hernanaracena,1512748381000
hernanaracena,1512748380000
hernanaracena,1512748108000
hernanaracena,1512747846000
hernanaracena,1512747845000
hernanaracena,1512747843000
hernanaracena,1512747842000
hernanaracena,1512747841000
hernanaracena,1512747840000
hernanaracena,1512747839000
hernanaracena,1512747838000
hernanaracena,1512747836000
hernanaracena,1512747835000
hernanaracena,1512747794000
hernanaracena,1512747563000
hernanaracena,1512747562000
hernanaracena,1512747560000
hernanaracena,1512747469000
hernanaracena,1512747258000
hernanaracena,1512747258000
hernanaracena,1512747257000
hernanaracena,1512747257000
hernanaracena,1512747256000
hernanaracena,1512747101000
hernanaracena,1512747100000
hernanaracena,1512747099000
hernanaracena,1512746869000
hernanaracena,1512746266000
hernanaracena,1512745935000
hernanaracena,1512745925000
hernanaracena,1512742541000
hernanaracena,1512741941000
hernanaracena,1512741625000
hernanaracena,1512738732000
hernanaracena,1512738451000
hernanaracena,1512737890000
hernanaracena,1512737850000
hernanaracena,1512737534000
hernanaracena,1512737529000
hernanaracena,1512737233000
hernanaracena,1512734320000
hernanaracena,1512734199000
hernanaracena,1512734104000
hernanaracena,1512734008000
hernanaracena,1512733622000
hernanaracena,1512733021000
hernanaracena,1512732810000
hernanaracena,1512731536000
hernanaracena,1512730990000
hernanaracena,1512730979000
hernanaracena,1512730928000
jpulgarin,1512730466000
jpulgarin,1512730466000
hernanaracena,1512730327000
hernanaracena,1512729781000
hernanaracena,1512729741000
hernanaracena,1512729689000
jpulgarin,1512729635000
hernanaracena,1512729088000
hernanaracena,1512728547000
hernanaracena,1512728486000
hernanaracena,1512728400000
hernanaracena,1512728394000
hernanaracena,1512722365000
hernanaracena,1512721848000
hernanaracena,1512721252000
hernanaracena,1512721166000
hernanaracena,1512721165000
sergioruizdavila,1512720655000
hernanaracena,1512720468000
hernanaracena,1512720466000
hernanaracena,1512720465000
hernanaracena,1512720464000
hernanaracena,1512720463000
hernanaracena,1512720462000
hernanaracena,1512720462000
hernanaracena,1512720461000
hernanaracena,1512720460000
hernanaracena,1512720458000
hernanaracena,1512720382000
sergioruizdavila,1512720110000
hernanaracena,1512720021000
hernanaracena,1512720020000
sergioruizdavila,1512719509000
sergioruizdavila,1512718908000
sergioruizdavila,1512718828000
sergioruizdavila,1512718822000
sergioruizdavila,1512718822000
sergioruizdavila,1512718822000
sergioruizdavila,1512718821000
sergioruizdavila,1512718821000
sergioruizdavila,1512718821000
sergioruizdavila,1512718820000
sergioruizdavila,1512718820000
sergioruizdavila,1512718820000
sergioruizdavila,1512718814000
sergioruizdavila,1512718814000
sergioruizdavila,1512718813000
sergioruizdavila,1512718813000
sergioruizdavila,1512718813000
